Input,Output
"[Cột: Thứ 2] [Hàng: Tiết 6-9]
Tâm lý học tôn giáo (853504)
Nhóm: 01
Phòng: C.C106-Phòng học Cơ sở Chính
GV: Trần Ngọc Cẩn
13:00 -> 16:40","[
  {
    ""subject"": ""Tâm lý học tôn giáo"",
    ""dayOfWeek"": 2,
    ""startTime"": ""13:00"",
    ""endTime"": ""16:40"",
    ""room"": ""C.C106-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 6-9]
Tâm lý học tôn giáo (853504)
Nhóm: 01
Phòng: C.B109-Phòng học Cơ sở Chính
GV: Trần Ngọc Cẩn
13:00 -> 16:40","[
  {
    ""subject"": ""Tâm lý học tôn giáo"",
    ""dayOfWeek"": 4,
    ""startTime"": ""13:00"",
    ""endTime"": ""16:40"",
    ""room"": ""C.B109-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 6-7]
Kinh tế chính trị Mác - Lênin (861302)
Nhóm: 10
Phòng: 1.B102-Phòng học Cơ sở 1
GV: Trần Thị Thanh Hoa
13:00 -> 14:40","[
  {
    ""subject"": ""Kinh tế chính trị Mác - Lênin"",
    ""dayOfWeek"": 5,
    ""startTime"": ""13:00"",
    ""endTime"": ""14:40"",
    ""room"": ""1.B102-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 1-2]
Tâm lí học giáo dục (853405)
Nhóm: 01
Phòng: 2.A201-Phòng học Cơ sở 2
GV: Nguyễn Thị Ngọc
07:00 -> 08:40","[
  {
    ""subject"": ""Tâm lí học giáo dục"",
    ""dayOfWeek"": 2,
    ""startTime"": ""07:00"",
    ""endTime"": ""08:40"",
    ""room"": ""2.A201-Phòng học Cơ sở 2""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 3-4]
Tâm lí học giáo dục (853405)
Nhóm: 01
Phòng: 2.A201-Phòng học Cơ sở 2
GV: Nguyễn Thị Ngọc
09:00 -> 10:40","[
  {
    ""subject"": ""Tâm lí học giáo dục"",
    ""dayOfWeek"": 2,
    ""startTime"": ""09:00"",
    ""endTime"": ""10:40"",
    ""room"": ""2.A201-Phòng học Cơ sở 2""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 6-7]
Tâm lí học giao tiếp (853011)
Nhóm: 01
Phòng: 2.A202-Phòng học Cơ sở 2
GV: Minh Thị Lâm
13:00 -> 14:40","[
  {
    ""subject"": ""Tâm lí học giao tiếp"",
    ""dayOfWeek"": 3,
    ""startTime"": ""13:00"",
    ""endTime"": ""14:40"",
    ""room"": ""2.A202-Phòng học Cơ sở 2""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 8-9]
Tâm lí học gia đình (853408)
Nhóm: 01
Phòng: 2.B304-Phòng học Cơ sở 2
GV: Minh Thị Lâm
15:00 -> 16:40","[
  {
    ""subject"": ""Tâm lí học gia đình"",
    ""dayOfWeek"": 3,
    ""startTime"": ""15:00"",
    ""endTime"": ""16:40"",
    ""room"": ""2.B304-Phòng học Cơ sở 2""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 4-5]
Tâm lí học giao tiếp (853011)
Nhóm: 01
Phòng: 2.A202-Phòng học Cơ sở 2
GV: Minh Thị Lâm
09:50 -> 11:30","[
  {
    ""subject"": ""Tâm lí học giao tiếp"",
    ""dayOfWeek"": 4,
    ""startTime"": ""09:50"",
    ""endTime"": ""11:30"",
    ""room"": ""2.A202-Phòng học Cơ sở 2""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 8-9]
Tâm lí học gia đình (853408)
Nhóm: 01
Phòng: 2.B205-Phòng học Cơ sở 2
GV: Minh Thị Lâm
15:00 -> 16:40","[
  {
    ""subject"": ""Tâm lí học gia đình"",
    ""dayOfWeek"": 4,
    ""startTime"": ""15:00"",
    ""endTime"": ""16:40"",
    ""room"": ""2.B205-Phòng học Cơ sở 2""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 6-7]
Tham vấn hướng nghiệp (853029)
Nhóm: 01
Phòng: C.A301-Phòng học Cơ sở Chính
GV: Phan Thị Thanh Hương
13:00 -> 14:40","[
  {
    ""subject"": ""Tham vấn hướng nghiệp"",
    ""dayOfWeek"": 2,
    ""startTime"": ""13:00"",
    ""endTime"": ""14:40"",
    ""room"": ""C.A301-Phòng học Cơ sở Chính""
  }
]"
