Input,Output
"[Cột: Thứ 2] [Hàng: Tiết 1-3]
Thiết kế và phân tích giải thuật (841414)
Nhóm: 06
Phòng: C.E105-Phòng học Cơ sở Chính
GV: Nguyễn Hòa
07:00 -> 09:50","[
  {
    ""subject"": ""Thiết kế và phân tích giải thuật"",
    ""dayOfWeek"": 2,
    ""startTime"": ""07:00"",
    ""endTime"": ""09:50"",
    ""room"": ""C.E105-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 4-5]
Pháp luật đại cương (865006)
Nhóm: 13
Phòng: C.E105-Phòng học Cơ sở Chính
GV: Nguyễn Thị Thanh Bình
09:50 -> 11:30","[
  {
    ""subject"": ""Pháp luật đại cương"",
    ""dayOfWeek"": 2,
    ""startTime"": ""09:50"",
    ""endTime"": ""11:30"",
    ""room"": ""C.E105-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 6-8]
Phân tích dữ liệu (841432)
Nhóm: 01
Phòng: C.E202-Phòng học Cơ sở Chính
GV: Trịnh Tấn Đạt
13:00 -> 15:50","[
  {
    ""subject"": ""Phân tích dữ liệu"",
    ""dayOfWeek"": 2,
    ""startTime"": ""13:00"",
    ""endTime"": ""15:50"",
    ""room"": ""C.E202-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 9-10]
Phân tích dữ liệu (841432)
Nhóm: 01
Phòng: C.A211-Phòng ảo
GV: Nguyễn Thị Tuyết Nam
15:50 -> 17:30","[
  {
    ""subject"": ""Phân tích dữ liệu"",
    ""dayOfWeek"": 2,
    ""startTime"": ""15:50"",
    ""endTime"": ""17:30"",
    ""room"": ""C.A211-Phòng ảo""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 1-3]
Cơ sở dữ liệu phân tán (841413)
Nhóm: 02
Phòng: C.E103-Phòng học Cơ sở Chính
GV: Nguyễn Quốc Huy
07:00 -> 09:50","[
  {
    ""subject"": ""Cơ sở dữ liệu phân tán"",
    ""dayOfWeek"": 3,
    ""startTime"": ""07:00"",
    ""endTime"": ""09:50"",
    ""room"": ""C.E103-Phòng học Cơ sở Chính""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 4-5]
Cơ sở dữ liệu phân tán (841413)
Nhóm: 02
Phòng: C.A211-Phòng ảo
GV: Nguyễn Quốc Huy
09:50 -> 11:30","[
  {
    ""subject"": ""Cơ sở dữ liệu phân tán"",
    ""dayOfWeek"": 3,
    ""startTime"": ""09:50"",
    ""endTime"": ""11:30"",
    ""room"": ""C.A211-Phòng ảo""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 8-10]
Các hệ quản trị cơ sở dữ liệu (841407)
Nhóm: 03
Phòng: C.A212-Phòng ảo
GV: Trần Anh Tuấn
15:00 -> 17:30","[
  {
    ""subject"": ""Các hệ quản trị cơ sở dữ liệu"",
    ""dayOfWeek"": 3,
    ""startTime"": ""15:00"",
    ""endTime"": ""17:30"",
    ""room"": ""C.A212-Phòng ảo""
  }
]"
"[Cột: Thứ 4] [Hàng: Tiết 3-4]
Hệ điều hành mã nguồn mở (841058)
Nhóm: 07
Phòng: C.A211-Phòng ảo
GV: Trịnh Tấn Đạt
09:00 -> 10:40","[
  {
    ""subject"": ""Hệ điều hành mã nguồn mở"",
    ""dayOfWeek"": 4,
    ""startTime"": ""09:00"",
    ""endTime"": ""10:40"",
    ""room"": ""C.A211-Phòng ảo""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 1-2]
Các hệ quản trị cơ sở dữ liệu (841407)
Nhóm: 03
Phòng: C.A211-Phòng ảo
GV: Trần Anh Tuấn
07:00 -> 08:40","[
  {
    ""subject"": ""Các hệ quản trị cơ sở dữ liệu"",
    ""dayOfWeek"": 5,
    ""startTime"": ""07:00"",
    ""endTime"": ""08:40"",
    ""room"": ""C.A211-Phòng ảo""
  }
]"
"[Cột: Thứ 5] [Hàng: Tiết 4-5]
Hệ điều hành mã nguồn mở (841058)
Nhóm: 07
Phòng: C.A211-Phòng ảo
GV: Trịnh Tấn Đạt
09:50 -> 11:30","[
  {
    ""subject"": ""Hệ điều hành mã nguồn mở"",
    ""dayOfWeek"": 5,
    ""startTime"": ""09:50"",
    ""endTime"": ""11:30"",
    ""room"": ""C.A211-Phòng ảo""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 3-5]
Lịch sử Đảng Cộng sản Việt Nam (861305)
Nhóm: 09
Phòng: 1.A301-Phòng học Cơ sở 1
GV: Phạm Phúc Vĩnh
09:00 -> 11:30","[
  {
    ""subject"": ""Lịch sử Đảng Cộng sản Việt Nam "",
    ""dayOfWeek"": 2,
    ""startTime"": ""09:00"",
    ""endTime"": ""11:30"",
    ""room"": ""1.A301-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 2] [Hàng: Tiết 6-8]
Xử lý ngôn ngữ tự nhiên (841448)
Nhóm: 01
Phòng: 1.A501-Phòng học chất lượng cao
GV: Nguyễn Tuấn Đăng
13:00 -> 15:50","[
  {
    ""subject"": ""Xử lý ngôn ngữ tự nhiên "",
    ""dayOfWeek"": 2,
    ""startTime"": ""13:00"",
    ""endTime"": ""15:50"",
    ""room"": ""1.A501-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 1-3]
Ngôn ngữ lập trình Python (841422)
Nhóm: 01
Phòng: 1.A401-Phòng học chất lượng cao
GV: Trịnh Tấn Đạt
07:00 -> 09:50","[
  {
    ""subject"": ""Ngôn ngữ lập trình Python "",
    ""dayOfWeek"": 3,
    ""startTime"": ""07:00"",
    ""endTime"": ""09:50"",
    ""room"": ""1.A401-Phòng học Cơ sở 1""
  }
]"
"[Cột: Thứ 3] [Hàng: Tiết 4-5]
Ngôn ngữ lập trình Python (841422)
Nhóm: 01
Phòng: 1.A401-Phòng học chất lượng cao
GV: Trịnh Tấn Đạt
09:50 -> 11:30","[
  {
    ""subject"": ""Ngôn ngữ lập trình Python "",
    ""dayOfWeek"": 3,
    ""startTime"": ""09:50"",
    ""endTime"": ""11:30"",
    ""room"": ""1.A401-Phòng học Cơ sở 1""
  }
]"
