source_split,sample_no,line_index,text,label
train,1,0,[Cột: Thứ 3] [Hàng: Tiết 3-4],WEEKDAY
train,1,1,Khoa học Trái Đất,SUBJECT
train,1,2,Phòng:B4-502,ROOM
train,2,0,[Cột: Thứ 3] [Hàng: Tiết 1-3],WEEKDAY
train,2,1,Phát triển năng lực nói và nghe cho học sinh tiểu học (PRIM1752),SUBJECT
train,2,2,Nhóm: 01,NOTE
train,2,3,Phòng: B.118 (ADV),ROOM
train,2,4,GV: Nguyễn Thị Xuân Yến,NOTE
train,2,5,06:30 -> 09:00,TIME
train,3,0,[Cột: Thứ 3] [Hàng: Tiết 8-9],WEEKDAY
train,3,1,Tâm lí học giới tính (853012),SUBJECT
train,3,2,Nhóm: 01,NOTE
train,3,3,Phòng: 2.B205-Phòng học Cơ sở 2,ROOM
train,3,4,GV: Nguyễn Phương Thảo,NOTE
train,3,5,15:00 -> 16:40,TIME
train,4,0,[Cột: Thứ 5] [Hàng: Tiết 4-5],WEEKDAY
train,4,1,Hệ điều hành mã nguồn mở (841058),SUBJECT
train,4,2,Nhóm: 07,NOTE
train,4,3,Phòng: C.A211-Phòng ảo,ROOM
train,4,4,GV: Trịnh Tấn Đạt,NOTE
train,4,5,09:50 -> 11:30,TIME
train,5,0,[Cột: Thứ 5] [Hàng: Tiết 8-9],WEEKDAY
train,5,1,Tâm bệnh học (853505),SUBJECT
train,5,2,Nhóm: 01,NOTE
train,5,3,Phòng: C.A303-Phòng học Cơ sở Chính,ROOM
train,5,4,GV: Cao Thị Nga,NOTE
train,5,5,15:00 -> 16:40,TIME
train,6,0,[Cột: Thứ 6] [Hàng:Tiết 4-6],WEEKDAY
train,6,1,Lý luận dạy học Tự nhiên - Xã hội (PRIM1711),SUBJECT
train,6,2,Buổi: Buổi sáng,NOTE
train,6,3,Giờ: 9h10-11h40,TIME
train,6,4,Nhóm: 06,NOTE
train,6,5,Lớp: 48.01.GDTH.F,NOTE
train,6,6,Phòng: B.201 (ADV),ROOM
train,6,7,GV: Phạm Phương Anh,NOTE
train,6,8,Email: anhpp@hcmue.edu.vn,IGNORE
train,7,0,[Cột: Thứ 2] [Hàng: Tiết 4-5],WEEKDAY
train,7,1,Pháp luật đại cương (865006),SUBJECT
train,7,2,Nhóm: 13,NOTE
train,7,3,Phòng: C.E105-Phòng học Cơ sở Chính,ROOM
train,7,4,GV: Nguyễn Thị Thanh Bình,NOTE
train,7,5,09:50 -> 11:30,TIME
train,8,0,[Cột: Thứ 2] [Hàng: Tiết 4-6],WEEKDAY
train,8,1,Phương pháp học tập hiệu quả (EDUC2801),SUBJECT
train,8,2,Nhóm: 13,NOTE
train,8,3,Phòng: B.109 (ADV),ROOM
train,8,4,GV: Lê Thanh Hải,NOTE
train,8,5,09:10 -> 11:40,TIME
train,9,0,[Cột: Thứ 6] [Hàng: Tiết 1-2],WEEKDAY
train,9,1,Công nghệ phần mềm (841047),SUBJECT
train,9,2,Nhóm: 01,NOTE
train,9,3,Phòng: C.E401-Phòng học Cơ sở Chính,ROOM
train,9,4,GV: Nguyễn Quốc Huy,NOTE
train,9,5,09:00 -> 11:30,TIME
train,10,0,[Cột: Thứ 4] [Hàng: Tiết 2-3],WEEKDAY
train,10,1,Lịch sử Việt Nam cổ trung đại (HIST1499),SUBJECT
train,10,2,Nhóm: 07,NOTE
train,10,3,Phòng: LLQ.D.303 (LLQ),ROOM
train,10,4,GV: Nguyễn Thị Hương,NOTE
train,10,5,06:30 -> 10:00,TIME
train,11,0,[Cột: Thứ 3] [Hàng: Tiết 4-6],WEEKDAY
train,11,1,Hệ thống thông tin địa lý (GIS) (GEOG1445),SUBJECT
train,11,2,Nhóm: 10,NOTE
